0	,1	,0.0126266573	,0.0497098155	,3.0543181896	,1.0471181112	,-2.6179254055	,0.5243879992	,2.2513983250	,-2.6179297606
0	,1	,0.0129785007	,0.0372804366	,3.0543420315	,1.0471102434	,-2.6179533005	,0.5244046885	,2.2514426708	,-2.6179538409
0	,1	,0.0132121118	,0.0269141458	,3.0543057919	,1.0471340853	,-2.6179254055	,0.5244244772	,2.2513823509	,-2.6179054419
0	,1	,0.0132885864	,0.0218799189	,3.0542941093	,1.0471340853	,-2.6179089546	,0.5243808466	,2.2514188290	,-2.6179338137
0	,1	,0.0132018626	,0.0132380370	,3.0543260574	,1.0471097666	,-2.6179172993	,0.5244282919	,2.2514712811	,-2.6179340521
0	,1	,0.0130674131	,-0.0048445864	,3.0543420315	,1.0471824843	,-2.6179296970	,0.5244201857	,2.2514386177	,-2.6179097334
0	,1	,0.0131824054	,-0.0048397994	,3.0543057919	,1.0470937926	,-2.6179409027	,0.5244847971	,2.2514266968	,-2.6179056803
0	,1	,0.0129908500	,0.0036492683	,3.0543060303	,1.0471340853	,-2.6179296970	,0.5245439249	,2.2514507771	,-2.6179097334
0	,1	,0.0129876211	,-0.0084796697	,3.0543179512	,1.0471340853	,-2.6179089546	,0.5245281893	,2.2514586449	,-2.6179054419
0	,1	,0.0127923815	,-0.0252846610	,3.0543019772	,1.0471140581	,-2.6179296970	,0.5245124537	,2.2514348030	,-2.6179056803
0	,1	,0.0131421490	,-0.0132825328	,3.0543379784	,1.0471181112	,-2.6179740429	,0.5245846945	,2.2513988018	,-2.6178773085
0	,1	,0.0129246358	,-0.0301552154	,3.0543141365	,1.0471340853	,-2.6179296970	,0.5245804030	,2.2513787746	,-2.6178897063
0	,1	,0.0134020485	,-0.0299065523	,3.0543141365	,1.0471421915	,-2.6179378033	,0.5246080595	,2.2514426708	,-2.6179261843
0	,1	,0.0133324405	,-0.0311554894	,3.0542781353	,1.0471581656	,-2.6179451942	,0.5247005659	,2.2513704300	,-2.6179099719
0	,1	,0.0129213873	,-0.0552108735	,3.0543060303	,1.0471541125	,-2.6179740429	,0.5246721941	,2.2513868809	,-2.6178696791
0	,1	,0.0128763588	,-0.0540727600	,3.0543100834	,1.0471181112	,-2.6179337502	,0.5247358519	,2.2514107227	,-2.6178899447
0	,1	,0.0128247505	,-0.0544271395	,3.0543382168	,1.0471340853	,-2.6179132462	,0.5246881682	,2.2514386177	,-2.6178215186
0	,1	,0.0126638645	,-0.0600872822	,3.0543379784	,1.0471142966	,-2.6179575920	,0.5247799593	,2.2513704300	,-2.6178780238
0	,1	,0.0132139977	,-0.0729690194	,3.0543301105	,1.0471221644	,-2.6179616451	,0.5248433787	,2.2513709068	,-2.6178575198
0	,1	,0.0140343113	,-0.0947051793	,3.0542900562	,1.0470816332	,-2.6179492474	,0.5248481470	,2.2513830662	,-2.6178091208
0	,1	,0.0146760512	,-0.0954359919	,3.0543017387	,1.0471705633	,-2.6179492474	,0.5248598295	,2.2513589859	,-2.6179145018
0	,1	,0.0143557480	,-0.1136242747	,3.0543141365	,1.0471381384	,-2.6179451942	,0.5249306399	,2.2513382435	,-2.6178374926
0	,1	,0.0134263290	,-0.1258994043	,3.0542981625	,1.0470654207	,-2.6179089546	,0.5249110895	,2.2513263226	,-2.6178091208
0	,1	,0.0116915843	,-0.1086010113	,3.0543622971	,1.0471705633	,-2.6179823875	,0.5249716479	,2.2513909340	,-2.6178255717
0	,1	,0.0111346124	,-0.1142545417	,3.0543460846	,1.0471581656	,-2.6179451942	,0.5249711710	,2.2513227463	,-2.6178091208
0	,1	,0.0114575876	,-0.1181809157	,3.0543141365	,1.0471665102	,-2.6179451942	,0.5249671179	,2.2512781620	,-2.6178899447
0	,1	,0.0111122783	,-0.1073777080	,3.0543582439	,1.0471381384	,-2.6179089546	,0.5249866682	,2.2513830662	,-2.6177969615
0	,1	,0.0106860260	,-0.1186332703	,3.0543539524	,1.0471460062	,-2.6179254055	,0.5250193316	,2.2513227463	,-2.6178534667
0	,1	,0.0103159333	,-0.1257958412	,3.0542821884	,1.0471421915	,-2.6179740429	,0.5250271994	,2.2513835430	,-2.6178455989
0	,1	,0.0098583549	,-0.1218479425	,3.0543022156	,1.0470937926	,-2.6179337502	,0.5250550944	,2.2513427734	,-2.6178336779
0	,1	,0.0105746901	,-0.1314927936	,3.0543460846	,1.0471300322	,-2.6178851128	,0.5251068312	,2.2513628006	,-2.6178258101
0	,1	,0.0107389065	,-0.1304991841	,3.0543022156	,1.0471221644	,-2.6179575920	,0.5251394945	,2.2513349056	,-2.6178377310
0	,1	,0.0104930187	,-0.1504672021	,3.0543301105	,1.0471541125	,-2.6179780960	,0.5251111227	,2.2513267994	,-2.6178014914
0	,1	,0.0097789336	,-0.1359510720	,3.0543339252	,1.0471743780	,-2.6179420948	,0.5251750189	,2.2513546944	,-2.6177690665
0	,1	,0.0097061871	,-0.1381158233	,3.0542500019	,1.0471426684	,-2.6179296970	,0.5251628596	,2.2512948513	,-2.6178174655
0	,1	,0.0100826025	,-0.1409962624	,3.0542979240	,1.0471500593	,-2.6179213524	,0.5252310473	,2.2512829304	,-2.6178215186
0	,1	,0.0098224934	,-0.1353333890	,3.0543539524	,1.0471102434	,-2.6179046631	,0.5252029139	,2.2513675690	,-2.6178215186
0	,1	,0.0094464701	,-0.1289732158	,3.0543539524	,1.0470937926	,-2.6178975105	,0.5252269942	,2.2513148785	,-2.6178415457
0	,1	,0.0093980618	,-0.1250863969	,3.0543460846	,1.0471500593	,-2.6178934574	,0.5252308088	,2.2513389587	,-2.6178174655
0	,1	,0.0096374685	,-0.1322285384	,3.0543181896	,1.0471181112	,-2.6179006100	,0.5252787310	,2.2512910366	,-2.6178174655
0	,1	,0.0097534088	,-0.1333562434	,3.0543260574	,1.0471464831	,-2.6179213524	,0.5253390509	,2.2513070107	,-2.6177971999
0	,1	,0.0099666519	,-0.1362977773	,3.0543060303	,1.0471500593	,-2.6179254055	,0.5253307062	,2.2513389587	,-2.6177933852
0	,1	,0.0099774376	,-0.1451012194	,3.0543141365	,1.0470980841	,-2.6179378033	,0.5253550249	,2.2512910366	,-2.6178498904
0	,1	,0.0095421132	,-0.1308048666	,3.0543141365	,1.0471221644	,-2.6179130077	,0.5253185469	,2.2512502670	,-2.6178377310
0	,1	,0.0096345739	,-0.1219823807	,3.0543301105	,1.0470980841	,-2.6179172993	,0.5253426272	,2.2513349056	,-2.6177931468
0	,1	,0.0103717744	,-0.1340056062	,3.0542781353	,1.0471221644	,-2.6179049015	,0.5253788668	,2.2513148785	,-2.6177609603
0	,1	,0.0099788271	,-0.1498192698	,3.0543341637	,1.0471464831	,-2.6179988384	,0.5254708964	,2.2513148785	,-2.6178496520
0	,1	,0.0099904099	,-0.1231051534	,3.0542979240	,1.0471421915	,-2.6179296970	,0.5254465777	,2.2513029575	,-2.6178258101
0	,1	,0.0099156089	,-0.1149459779	,3.0543344021	,1.0471541125	,-2.6179172993	,0.5254306036	,2.2513029575	,-2.6177449862
0	,1	,0.0104415091	,-0.1053996161	,3.0543825626	,1.0471340853	,-2.6179254055	,0.5254990298	,2.2512750626	,-2.6178258101
0	,1	,0.0104186041	,-0.1101221964	,3.0543789864	,1.0470980841	,-2.6179049015	,0.5255145270	,2.2513029575	,-2.6178298632
